,pred,true
0,0.9608944,0.98007065
1,0.9577064,0.98016506
2,0.95749956,0.98026204
3,0.95611995,0.98035693
4,0.95445424,0.9804499
5,0.9531498,0.9805407
6,0.95126724,0.98062927
7,0.9493041,0.98071486
8,0.94998723,0.98079664
9,0.9508644,0.98087454
10,0.95135826,0.9809485
11,0.9513386,0.9810188
12,0.95093805,0.9810855
13,0.9509804,0.9811483
14,0.9512194,0.98120767
15,0.952648,0.98126364
16,0.95217353,0.9813156
17,0.95147914,0.9813569
18,0.9509702,0.9813768
19,0.95136356,0.9813669
20,0.9510395,0.9813218
21,0.9504259,0.9812407
22,0.9504644,0.9811239
23,0.94940543,0.9809665
24,0.94898397,0.9807723
25,0.9484597,0.98055285
26,0.94714326,0.9803141
27,0.94558144,0.98005676
28,0.945049,0.9797831
29,0.94423646,0.97949547
30,0.9435883,0.9791946
31,0.94341534,0.9788844
32,0.94139856,0.9785661
33,0.9400808,0.9782379
34,0.93951875,0.97790146
35,0.93984985,0.9775607
36,0.9394524,0.97721165
37,0.93930364,0.97684526
38,0.9380014,0.97646236
39,0.9380191,0.97606516
40,0.9385727,0.97565573
41,0.94060946,0.9752392
42,0.9429639,0.9748254
43,0.9434984,0.9744274
44,0.9446985,0.9740527
45,0.94496775,0.9737086
46,0.946812,0.97340053
47,0.94731957,0.97312766
48,0.9487596,0.97288114
49,0.94739914,0.9726527
50,0.9476719,0.9724358
51,0.94766235,0.97223157
52,0.9468873,0.9720375
53,0.94675773,0.9718518
54,0.94569254,0.97167677
55,0.94392395,0.9715083
56,0.9441147,0.9713436
57,0.94344264,0.97118217
58,0.94491535,0.9710243
59,0.9432537,0.9708684
60,0.9429355,0.9707184
61,0.9423373,0.970582
62,0.9429001,0.9704613
63,0.9424502,0.9703562
64,0.94335765,0.9702602
65,0.94180804,0.9701762
66,0.9400371,0.9700942
67,0.9404978,0.9699988
68,0.94017094,0.96989566
69,0.93922347,0.96977943
70,0.9389863,0.9696503
71,0.9368069,0.96950847
72,0.93527794,0.96935385
73,0.9348884,0.9691859
74,0.93325925,0.96900743
75,0.93337965,0.96882105
76,0.9337012,0.9686263
77,0.9326449,0.96842736
78,0.93237543,0.9682234
79,0.9316323,0.96801805
80,0.9327145,0.96781224
81,0.9297387,0.96760195
82,0.9280936,0.9673894
83,0.9251671,0.9671748
84,0.9231069,0.96694976
85,0.9220236,0.96671695
86,0.92472976,0.96647865
87,0.92083186,0.9662306
88,0.9173158,0.96597785
89,0.9184773,0.96571654
90,0.9138057,0.9654557
91,0.9133809,0.9652036
92,0.9128979,0.96495724
93,0.91388375,0.9647188
94,0.91443473,0.9644887
95,0.91675186,0.9642742
96,0.9154558,0.96407
97,0.91504556,0.963871
98,0.9153309,0.96368104
99,0.91465074,0.9634943
100,0.91441613,0.9633104
101,0.9137179,0.96313196
102,0.91450787,0.96295434
103,0.91320986,0.9627765
104,0.913521,0.96259737
105,0.91275454,0.9624203
106,0.9137202,0.9622441
107,0.9147718,0.9620666
108,0.91512537,0.96189594
109,0.9157365,0.96173286
110,0.91517,0.96157265
111,0.91455203,0.9614115
112,0.9144396,0.9612493
113,0.91487235,0.96108836
114,0.91476303,0.96092767
115,0.9151888,0.960769
116,0.9143422,0.9606171
117,0.91369486,0.96047115
118,0.91296405,0.96032435
119,0.9122943,0.960169
120,0.91101617,0.96001226
121,0.91092724,0.9598581
122,0.9097282,0.95970064
123,0.90903264,0.9595485
124,0.9069076,0.9594018
125,0.90778637,0.9592529
126,0.90584254,0.9591031
127,0.90724224,0.95894927
128,0.9056499,0.95879555
129,0.90506524,0.95864886
130,0.9041996,0.95850587
131,0.90496355,0.9583604
132,0.901876,0.9582134
133,0.90144247,0.9580681
134,0.89915156,0.95792216
135,0.8993228,0.9577794
136,0.895299,0.95764095
137,0.89762926,0.9575047
138,0.8964482,0.95737463
139,0.8961124,0.9572494
140,0.8961272,0.95711803
141,0.8921574,0.9569852
142,0.896866,0.9568525
143,0.8962214,0.956719
144,0.89633393,0.95658827
145,0.89698243,0.9564559
146,0.89605695,0.95632076
147,0.89716727,0.9561846
148,0.8954676,0.9560463
149,0.89607126,0.9559075
150,0.89506596,0.955774
151,0.8971123,0.95564574
152,0.89637613,0.9555195
153,0.89489347,0.95538837
154,0.8953669,0.9552522
155,0.89715004,0.9551185
156,0.8939297,0.95498705
157,0.8946221,0.95485044
158,0.8944001,0.9547107
159,0.89432925,0.95457286
160,0.89331704,0.95443314
161,0.89372295,0.95429116
162,0.8938747,0.95414686
163,0.8948145,0.95399714
164,0.89403915,0.9538412
165,0.8922903,0.9536774
166,0.8928833,0.9535055
167,0.89292675,0.95332694
168,0.8925788,0.9531393
169,0.8917477,0.9529465
170,0.8928198,0.9527511
171,0.8908162,0.9525488
172,0.8910448,0.9523385
173,0.8892562,0.95212287
174,0.8882715,0.9518986
175,0.88951415,0.9516649
176,0.88987607,0.9514243
177,0.88972425,0.951166
178,0.8893996,0.9508896
179,0.8892841,0.950589
180,0.8878127,0.95027375
181,0.8865294,0.94996804
182,0.8878096,0.9496639
183,0.88482684,0.9493577
184,0.886962,0.9490483
185,0.88338345,0.9487341
186,0.8833024,0.9484176
187,0.88041884,0.9481099
188,0.8833769,0.9478176
189,0.8809015,0.94753474
190,0.882943,0.94725704
191,0.8805349,0.9469858
192,0.8828024,0.9467201
193,0.8805116,0.9464593
194,0.8805383,0.946203
195,0.8800352,0.9459414
196,0.8786979,0.9456763
197,0.87888986,0.94540507
198,0.88121533,0.9451208
199,0.8788956,0.9448258
200,0.8794908,0.94451547
201,0.8728917,0.94420075
202,0.8753149,0.9438875
203,0.8803935,0.9435937
204,0.87494946,0.9433239
205,0.87532544,0.9430537
206,0.8721506,0.94277716
207,0.87211275,0.9424841
208,0.8706601,0.94218
209,0.8675368,0.941869
210,0.87178916,0.9415467
211,0.8683944,0.9412112
212,0.868213,0.94086343
213,0.858216,0.9405058
214,0.8610154,0.94014055
215,0.8536938,0.93977696
216,0.8551356,0.93941563
217,0.8587249,0.9390556
218,0.84899014,0.9387004
219,0.856056,0.9383592
