,pred,true
0,1.001854,0.99021035
1,1.0018064,0.9900656
2,1.0011181,0.9899314
3,1.0011152,0.9898081
4,1.0008371,0.9896955
5,1.000341,0.9895881
6,1.0005023,0.9894808
7,1.0001707,0.9893735
8,1.0006732,0.9892662
9,1.0008227,0.98916155
10,1.000974,0.9890623
11,1.0011483,0.9889684
12,1.0009865,0.98887986
13,1.0004966,0.9887967
14,1.0007294,0.988719
15,1.0001974,0.9886465
16,1.0001732,0.98857933
17,1.0006684,0.9885177
18,1.0003109,0.9884613
19,1.0003942,0.9884105
20,1.0003508,0.9883649
21,1.0008116,0.9883167
22,1.0009305,0.98825765
23,1.0010215,0.98818797
24,1.0006512,0.9881075
25,1.0013145,0.9880163
26,1.0011002,0.9879145
27,1.0003589,0.98780173
28,1.0002085,0.98767835
29,0.99991083,0.98754954
30,1.000118,0.9874208
31,0.99952984,0.987292
32,0.99839383,0.98716325
33,0.998606,0.9870345
34,0.99743396,0.98690575
35,0.99785537,0.98677707
36,0.99739236,0.9866483
37,0.99689674,0.9865195
38,0.9971259,0.9863908
39,0.9970446,0.98626214
40,0.9964843,0.9861334
41,0.99632233,0.98600465
42,0.9959213,0.9858759
43,0.99551296,0.98574716
44,0.99616957,0.9856184
45,0.99547124,0.9854898
46,0.9956896,0.9853611
47,0.99477535,0.98523235
48,0.99442977,0.9851036
49,0.9937747,0.98497224
50,0.9939006,0.98483545
51,0.9934842,0.98469335
52,0.9934117,0.98454595
53,0.9935298,0.9843932
54,0.9922946,0.98423505
55,0.9918105,0.98407143
56,0.9917219,0.98390245
57,0.99127,0.9837281
58,0.99185544,0.9835484
59,0.9915456,0.9833632
60,0.99102926,0.9831727
61,0.9910838,0.98298484
62,0.99106544,0.9828078
63,0.9905789,0.9826414
64,0.9908514,0.9824858
65,0.99069446,0.9823409
66,0.99021333,0.98220676
67,0.99024516,0.9820833
68,0.9904067,0.9819706
69,0.98921514,0.98186606
70,0.9887578,0.9817667
71,0.9891925,0.98167276
72,0.9887503,0.98158425
73,0.9884615,0.9815037
74,0.988481,0.98143387
75,0.98852396,0.9813749
76,0.98846096,0.9813266
77,0.9879055,0.9812889
78,0.9872454,0.981262
79,0.9871021,0.981246
80,0.9870116,0.9812406
81,0.9860287,0.981246
82,0.9860348,0.9812622
83,0.9859329,0.9812891
84,0.9854855,0.98132676
85,0.9857109,0.9813644
86,0.9848366,0.9813914
87,0.9851513,0.9814076
88,0.9838872,0.98141307
89,0.9842537,0.9814077
90,0.98368025,0.9813917
91,0.9826676,0.98136497
92,0.98293275,0.9813275
93,0.9822905,0.98128194
94,0.98207664,0.98123103
95,0.98186904,0.9811747
96,0.98113173,0.98111314
97,0.98092103,0.98104596
98,0.98042375,0.98097354
99,0.9800873,0.9808957
100,0.9798762,0.98081255
101,0.97980756,0.98072404
102,0.97963476,0.9806301
103,0.97880244,0.98053074
104,0.97852486,0.98042613
105,0.9779442,0.98031616
106,0.9781122,0.98020077
107,0.9780944,0.98008007
108,0.97746754,0.979954
109,0.9779971,0.97982526
110,0.9782216,0.9796965
111,0.97770756,0.97956777
112,0.97783536,0.9794391
113,0.97713214,0.97931033
114,0.9769642,0.9791816
115,0.9770214,0.97905284
116,0.976515,0.9789242
117,0.976937,0.97879547
118,0.97627324,0.9786667
119,0.97543794,0.97853804
120,0.97576934,0.97840947
121,0.9764161,0.9782619
122,0.9755189,0.97807646
123,0.975321,0.9778536
124,0.97467655,0.9775932
125,0.9751837,0.977295
126,0.9750157,0.9769594
127,0.97387904,0.97658604
128,0.97462606,0.9761751
129,0.973782,0.97573495
130,0.97302055,0.97527313
131,0.9719708,0.97479004
132,0.9722355,0.9742854
133,0.9725593,0.97375923
134,0.9723286,0.97321135
135,0.9715047,0.972642
136,0.97189236,0.97205114
137,0.9703992,0.9714387
138,0.9702289,0.97080487
139,0.9694195,0.9701496
140,0.9684658,0.9694729
141,0.9683182,0.9687746
142,0.9681151,0.96805483
143,0.9667835,0.9673136
144,0.96651,0.96655077
145,0.9668037,0.9657853
146,0.9655423,0.9650362
147,0.96552545,0.9643031
148,0.964365,0.9635861
149,0.9641535,0.96288514
150,0.962545,0.96220016
151,0.96188974,0.9615314
152,0.9588635,0.9608974
153,0.95655507,0.96030885
154,0.9555138,0.9597581
155,0.9558325,0.9592447
156,0.95495915,0.958769
157,0.95322466,0.9583309
158,0.95259094,0.95793074
159,0.95238286,0.957568
160,0.9505832,0.9572323
161,0.9498882,0.9569127
162,0.9491427,0.9566091
163,0.9474923,0.95632154
164,0.946455,0.95605
165,0.9435579,0.95579463
166,0.94219583,0.95555544
167,0.94045573,0.95533246
168,0.93755287,0.9551255
169,0.9365352,0.9549348
170,0.93493253,0.95476025
171,0.9334472,0.9546017
172,0.9324615,0.95445937
173,0.929481,0.9543331
174,0.9271269,0.954223
175,0.9252901,0.95412904
176,0.9265461,0.9540325
177,0.92347527,0.9539144
178,0.9228923,0.95377487
179,0.92050695,0.95361376
180,0.91705066,0.9534312
181,0.9132406,0.9532271
182,0.91183347,0.95300156
183,0.91065115,0.9527545
184,0.90844566,0.95249677
185,0.90352184,0.95223904
186,0.90168047,0.9519813
187,0.897901,0.9517236
188,0.89643234,0.95146585
189,0.89409417,0.95120806
190,0.89032906,0.9509502
191,0.889313,0.95069236
192,0.8891317,0.9504506
193,0.8851108,0.9502409
194,0.88517505,0.9500637
195,0.8824088,0.94991875
196,0.88170767,0.94980603
197,0.87955374,0.9497256
198,0.87791777,0.9496773
199,0.8789253,0.94966125
200,0.87995386,0.9496667
201,0.87736267,0.9496828
202,0.87683344,0.9497097
203,0.87539274,0.94974726
204,0.8736871,0.94979554
205,0.8747266,0.9498547
206,0.87704045,0.9499245
207,0.87649983,0.95000505
208,0.8766878,0.9500963
209,0.8755851,0.95019835
210,0.8753337,0.950311
211,0.8737188,0.9504345
212,0.8755486,0.95056885
213,0.87656045,0.9507138
214,0.8765125,0.9508696
215,0.8774576,0.9510362
216,0.8783911,0.95119745
217,0.8778167,0.95133716
218,0.88314503,0.9514554
219,0.88300925,0.951552
220,0.88627386,0.9516272
221,0.8878148,0.95168084
222,0.8913273,0.9517131
223,0.8884552,0.9517239
224,0.89047384,0.9517239
225,0.89100844,0.9517239
226,0.89324903,0.95172405
227,0.89335054,0.95172405
228,0.8943262,0.9517241
229,0.89431715,0.95172423
230,0.8938454,0.95172423
231,0.89835805,0.95172423
232,0.8985842,0.9517243
233,0.89899856,0.95172435
234,0.8979605,0.95172435
235,0.8951399,0.95172447
236,0.89685535,0.9517245
237,0.89868563,0.9517245
238,0.90063554,0.9517246
239,0.9013857,0.9517247
240,0.90240353,0.9517247
241,0.8762395,0.9517247
242,0.8822662,0.95172477
243,0.87420654,0.9517248
244,0.88205844,0.9517248
245,0.88847905,0.95172495
246,0.8818178,0.951725
247,0.893846,0.951725
248,0.9048994,0.951725
249,0.88852835,0.95172507
250,0.89064217,0.9517252
251,0.9036433,0.9517252
252,0.9007518,0.95172524
253,0.8889043,0.9517253
254,0.88906676,0.9517254
255,0.88899183,0.9517255
256,0.89765674,0.9517255
257,0.8917375,0.9517255
258,0.89458066,0.9517229
259,0.8928506,0.9517148
260,0.8954134,0.95170146
261,0.89090425,0.95168275
262,0.8918102,0.95165855
263,0.88592356,0.9516291
264,0.8864754,0.9515942
265,0.8914321,0.951554
266,0.8874647,0.95150846
267,0.88387346,0.9514575
268,0.88515276,0.9514012
269,0.88129765,0.9513395
270,0.88512087,0.9512725
271,0.902215,0.9512
272,0.9001608,0.9511222
273,0.8972078,0.951039
274,0.896385,0.95095044
275,0.8984844,0.9508565
276,0.9023426,0.9507572
277,0.90690666,0.95065254
278,0.90728444,0.9505425
279,0.910464,0.9504271
280,0.9073203,0.9503064
281,0.90698284,0.95018023
282,0.9078819,0.95005137
283,0.90899307,0.94992256
284,0.90928984,0.9497938
285,0.90712553,0.949665
286,0.90412945,0.94953346
287,0.908902,0.94939655
288,0.90350705,0.9492543
289,0.90837747,0.9491067
290,0.91035587,0.9489536
291,0.9064722,0.9487953
