,pred,true
0,0.9800587,0.98436373
1,0.9805672,0.98433405
2,0.98020726,0.98430824
3,0.9786491,0.98428684
4,0.97775006,0.9842767
5,0.9783674,0.98427874
6,0.97751933,0.9842908
7,0.97715527,0.9843106
8,0.9764323,0.9843361
9,0.97666407,0.9843626
10,0.9772568,0.9843872
11,0.97671634,0.9844143
12,0.97721,0.98444957
13,0.97585106,0.9844964
14,0.9757214,0.9845567
15,0.9760149,0.9846313
16,0.97605246,0.9847196
17,0.97575206,0.98481864
18,0.9758114,0.9849232
19,0.9762829,0.9850281
20,0.9761688,0.9851208
21,0.97558165,0.98519117
22,0.9760173,0.9852412
23,0.9752057,0.9852729
24,0.97520214,0.9852896
25,0.97481126,0.9852945
26,0.9748489,0.9852946
27,0.9747107,0.98529464
28,0.9746022,0.98529464
29,0.97407526,0.98529476
30,0.9733208,0.9852948
31,0.97303486,0.9852948
32,0.9730787,0.9852949
33,0.97305804,0.985295
34,0.97249144,0.985295
35,0.9730584,0.98529506
36,0.9730058,0.98529506
37,0.97304994,0.9852951
38,0.9730856,0.9852951
39,0.9725599,0.98529524
40,0.97260976,0.9852953
41,0.97288656,0.9852953
42,0.9731381,0.9852955
43,0.97302294,0.9852955
44,0.9737193,0.9852898
45,0.9736379,0.9852708
46,0.97385734,0.9852341
47,0.972852,0.98517543
48,0.97288936,0.9850891
49,0.9724168,0.9849697
50,0.9729781,0.98481625
51,0.9730428,0.984632
52,0.9738706,0.9844206
53,0.9727585,0.98419076
54,0.9727287,0.98395586
55,0.9723881,0.9837234
56,0.9710819,0.9834924
57,0.9721031,0.9832578
58,0.9713235,0.98301584
59,0.97148055,0.9827673
60,0.97237533,0.9825104
61,0.9727874,0.98223716
62,0.972343,0.9819539
63,0.9718062,0.98167974
64,0.9721249,0.9814163
65,0.9720764,0.98116493
66,0.97227794,0.980926
67,0.9728327,0.9806914
68,0.9733515,0.9804575
69,0.9730728,0.98022795
70,0.9730212,0.9800039
71,0.97389454,0.979779
72,0.97310686,0.9795508
73,0.973373,0.97931784
74,0.9740219,0.9790761
75,0.9739041,0.97882223
76,0.97292215,0.97855216
77,0.97293824,0.97826546
78,0.9725909,0.97794837
79,0.9707878,0.9775913
80,0.971174,0.9771951
81,0.9714095,0.9767602
82,0.9714007,0.97629076
83,0.9714429,0.97579056
84,0.97110415,0.9752681
85,0.9697442,0.9747333
86,0.9703031,0.9741886
87,0.96918184,0.97362596
88,0.96857166,0.9730442
89,0.968146,0.97244245
90,0.96619874,0.9718192
91,0.96718556,0.9711806
92,0.9675934,0.97053605
93,0.96644956,0.96988934
94,0.9664007,0.96924114
95,0.9658893,0.9686
96,0.96635103,0.9679699
97,0.96531564,0.96735257
98,0.9651807,0.96675134
99,0.96481156,0.9661684
100,0.9644275,0.96560484
101,0.96058226,0.9650499
102,0.9597821,0.96450424
103,0.95938903,0.96397096
104,0.95860386,0.9634457
105,0.95532966,0.962925
106,0.9546059,0.9624031
107,0.9538951,0.96188277
108,0.9504662,0.9613655
109,0.94969225,0.9608553
110,0.94861096,0.96034867
111,0.9471522,0.95983654
112,0.9462018,0.9593139
113,0.9431574,0.9587765
114,0.940262,0.95822144
115,0.93474126,0.9576523
116,0.9337141,0.95706844
117,0.9316285,0.95646995
118,0.93228483,0.9558606
119,0.9304466,0.95524424
120,0.9235378,0.95462877
121,0.9293931,0.9540234
122,0.92404366,0.9534302
123,0.91974324,0.95284414
124,0.9186608,0.95226455
125,0.9195137,0.9516945
126,0.92187643,0.95113325
127,0.9187729,0.9505815
128,0.9153564,0.9500473
129,0.91141605,0.9495423
130,0.9108815,0.94907665
131,0.91203564,0.9486468
132,0.9101874,0.9482403
133,0.9063533,0.94784784
134,0.903749,0.94746256
135,0.9022077,0.9470822
136,0.89927715,0.9467022
137,0.89494723,0.9463245
138,0.89070433,0.9459552
139,0.888391,0.9455945
140,0.8840201,0.94524765
141,0.88397044,0.9449207
142,0.8762924,0.9446137
143,0.87330866,0.94432545
144,0.8690829,0.94405323
145,0.86676866,0.94378424
146,0.8624077,0.9435169
147,0.8616926,0.943259
148,0.85936356,0.9430081
149,0.8583711,0.94276506
150,0.8558183,0.9425265
151,0.8512387,0.9422893
152,0.8509472,0.94203645
153,0.84970826,0.94177204
154,0.8519516,0.94149095
155,0.8539986,0.94118124
156,0.85610723,0.9408533
157,0.8520217,0.9404971
158,0.85073847,0.94011277
159,0.84923744,0.9397121
160,0.84289426,0.93930405
161,0.84129316,0.9388943
162,0.8359572,0.9384882
163,0.8334369,0.9380931
164,0.82867575,0.93771046
165,0.82855743,0.9373374
166,0.82682496,0.9369755
167,0.82311726,0.9366258
168,0.82333946,0.9362755
169,0.82062227,0.9359231
170,0.82073665,0.93557525
171,0.8163288,0.93523693
172,0.81646776,0.9349072
173,0.81741875,0.9345735
174,0.8157179,0.9342392
175,0.81328267,0.9339125
176,0.81151867,0.9336064
177,0.80947083,0.93330914
178,0.8102791,0.93301964
179,0.8129096,0.9327515
180,0.8115141,0.93250424
181,0.81740445,0.9322932
182,0.81131697,0.932122
183,0.80987805,0.93198425
184,0.81514806,0.9318805
185,0.8091193,0.93180865
186,0.8078874,0.9317608
187,0.8068231,0.9317279
188,0.80966735,0.9317029
189,0.80356234,0.93168736
190,0.8067281,0.93167955
191,0.808876,0.9316778
192,0.8052516,0.93169254
193,0.7979142,0.93173105
194,0.80363005,0.9317859
195,0.7984193,0.9318443
196,0.795747,0.93190545
197,0.7931635,0.9319789
198,0.7879736,0.93206906
199,0.79026604,0.9321739
200,0.7848058,0.93229884
201,0.7818782,0.93245333
202,0.78497905,0.932633
203,0.78264236,0.93282557
204,0.78513116,0.9330222
205,0.7791068,0.93322235
206,0.78124505,0.93342495
207,0.7852649,0.9336278
208,0.79098576,0.93382853
209,0.7907788,0.9340221
210,0.7924893,0.93420583
211,0.7990276,0.9343805
212,0.7994144,0.9345462
213,0.8081155,0.93469906
214,0.79803973,0.93483716
215,0.8035402,0.93496156
216,0.8051638,0.93507296
217,0.80884093,0.9351744
218,0.80250716,0.9352681
219,0.80464786,0.9353562
220,0.80444145,0.9354437
221,0.80882436,0.93553215
222,0.8086007,0.93561715
223,0.8170884,0.9356943
224,0.80864257,0.9357583
225,0.8316083,0.9358042
226,0.84354377,0.93583554
227,0.8477976,0.93585414
228,0.850718,0.9358552
229,0.8487986,0.9358328
230,0.85088426,0.93578094
231,0.8612879,0.93569374
232,0.8600695,0.9355697
233,0.8634202,0.93541235
234,0.8598554,0.93522906
235,0.8675966,0.935025
236,0.8682568,0.93479794
237,0.8667124,0.9345471
238,0.8643975,0.93426615
239,0.8711951,0.9339599
240,0.8770825,0.93363565
241,0.8696216,0.9332954
242,0.8753167,0.93293935
243,0.8723915,0.9325652
244,0.87938976,0.9321707
245,0.87969685,0.93176126
246,0.88977987,0.9313418
247,0.89325553,0.9309142
248,0.8862893,0.93048406
249,0.89609283,0.93004876
250,0.8907501,0.9296004
251,0.8924692,0.9291411
252,0.89686376,0.9286849
253,0.89320344,0.92824155
254,0.89477295,0.92781496
255,0.88857126,0.92740965
256,0.88567257,0.9270272
257,0.87862796,0.92666847
258,0.8891204,0.926325
259,0.88294727,0.925992
260,0.8799982,0.9256751
261,0.87986034,0.92537975
262,0.87407154,0.9251175
263,0.8786269,0.9248867
264,0.879721,0.92467827
265,0.87761956,0.9244953
266,0.8770806,0.9243453
267,0.8673064,0.9242335
268,0.8724232,0.9241608
269,0.86056453,0.9241183
270,0.8611309,0.92409974
271,0.85569286,0.92410165
272,0.8479958,0.92411524
273,0.8609869,0.92413735
274,0.86561847,0.9241745
275,0.86148286,0.9242298
276,0.86536884,0.9242966
277,0.8663222,0.9243706
278,0.8668068,0.92445165
279,0.86283827,0.92453986
280,0.86413527,0.9246352
281,0.8602657,0.9247382
282,0.8615529,0.9248472
283,0.8592138,0.9249565
284,0.86022943,0.92505765
285,0.8562441,0.9251395
286,0.86251765,0.92519116
287,0.85363847,0.9252048
288,0.8587716,0.92517537
289,0.8593536,0.925096
290,0.85962933,0.92497367
291,0.85013133,0.9248099
292,0.85433143,0.92459863
293,0.8665244,0.92434883
294,0.8704608,0.9240715
295,0.87670416,0.92377645
296,0.8706463,0.9234708
297,0.87014246,0.9231623
298,0.86805344,0.9228547
299,0.86947817,0.92255014
300,0.87440634,0.92225695
301,0.8696138,0.92198306
302,0.8750586,0.9217274
303,0.8754907,0.92148656
304,0.87595844,0.92125684
305,0.8782366,0.92103213
306,0.8826422,0.92081183
307,0.8829759,0.92060167
308,0.88398236,0.9204065
309,0.88696074,0.92023295
310,0.88613385,0.92008656
311,0.890419,0.919972
312,0.884247,0.9198962
313,0.88586205,0.91986084
314,0.88379246,0.9198511
315,0.8796633,0.919863
316,0.88294667,0.9199035
317,0.8778062,0.9199674
318,0.886326,0.92004484
319,0.88144857,0.92012745
320,0.88514215,0.9202118
321,0.88487816,0.9202957
322,0.8831494,0.92037845
323,0.87689894,0.9204583
324,0.8850067,0.9205268
325,0.886295,0.92057586
326,0.88556343,0.9206069
327,0.88689375,0.9206174
328,0.8923901,0.9206033
329,0.89050025,0.9205664
330,0.89026994,0.92050725
331,0.88712937,0.92042035
332,0.8906576,0.9202998
333,0.8929105,0.9201396
334,0.89592654,0.9199365
