,pred,true
0,1.0028219,0.98864365
1,1.0007026,0.9887721
2,1.0010546,0.9889014
3,1.0011507,0.98903066
4,1.0007635,0.9891598
5,1.0010023,0.9891598
6,1.0013208,0.98903084
7,1.0008165,0.98890233
8,1.0012897,0.98877305
9,1.0014634,0.9886445
10,1.0009228,0.98851514
11,1.0011902,0.9883859
12,1.001052,0.98825717
13,1.002087,0.9881286
14,1.0024043,0.98799956
15,1.0022973,0.98787117
16,1.0024687,0.9877419
17,1.0013927,0.9876134
18,1.0015033,0.9874851
19,1.0018334,0.98735654
20,1.0013037,0.98722696
21,1.0011624,0.98709875
22,1.0011414,0.98696995
23,1.0012772,0.98684174
24,1.001078,0.9867133
25,1.0010031,0.9865847
26,1.000769,0.986456
27,0.99998444,0.9863268
28,1.0009006,0.9861977
29,1.0011507,0.9860689
30,1.0006412,0.98594034
31,0.9999552,0.98581165
32,1.0001494,0.98568296
33,1.000495,0.9855541
34,0.999422,0.98542523
35,0.99921435,0.9852967
36,1.0000702,0.98516726
37,0.99972135,0.98503864
38,0.99951154,0.9849103
39,0.9993596,0.9847813
40,0.9988044,0.98465306
41,0.9981404,0.984524
42,0.99850225,0.98439515
43,0.99734515,0.9842669
44,0.99861664,0.984138
45,0.9987113,0.98400974
46,0.99853116,0.98388153
47,0.99838066,0.98375297
48,0.99824256,0.98362416
49,0.9978257,0.98343086
50,0.99688643,0.9831741
51,0.9983933,0.9829162
52,0.9980733,0.9826591
53,0.9983124,0.9824017
54,0.99905974,0.98214436
55,0.99783033,0.9818859
56,0.99772364,0.98162794
57,0.9961541,0.9813693
58,0.99574226,0.9811114
59,0.99654937,0.98085374
60,0.99583834,0.980595
61,0.9963667,0.98053074
62,0.99592024,0.98065954
63,0.9964468,0.98078847
64,0.99567914,0.98091805
65,0.99513906,0.9810468
66,0.99530715,0.9811754
67,0.9944609,0.98130494
68,0.9953044,0.9814341
69,0.9958434,0.9814985
70,0.9946045,0.9814985
71,0.9951531,0.9814986
72,0.99444884,0.98149866
73,0.99437445,0.9814987
74,0.9938423,0.98149884
75,0.9946995,0.9814989
76,0.9942791,0.98149896
77,0.9944412,0.9814991
78,0.9938784,0.9814991
79,0.9942114,0.9814992
80,0.9943063,0.9814992
81,0.99344134,0.9814993
82,0.9934657,0.9814993
83,0.99305946,0.9814994
84,0.99235517,0.98149943
85,0.9926503,0.98143494
86,0.99340016,0.9813061
87,0.99294806,0.98117733
88,0.9930813,0.9810486
89,0.9929274,0.9809202
90,0.99322605,0.98079145
91,0.99276644,0.9806629
92,0.99209124,0.9805341
93,0.9931298,0.9804058
94,0.99272686,0.9802766
95,0.99286145,0.98014724
96,0.99242395,0.9800184
97,0.9919915,0.9798889
98,0.9923847,0.9797604
99,0.99146634,0.97963154
100,0.9919887,0.979502
101,0.9919178,0.9793737
102,0.99136233,0.9792452
103,0.99169904,0.97911674
104,0.99123996,0.9789878
105,0.9901676,0.97885907
106,0.99065834,0.97873056
107,0.990441,0.9786023
108,0.99146813,0.9784738
109,0.9907767,0.97834516
110,0.99046236,0.9782165
111,0.9901784,0.9780878
112,0.9908247,0.9779594
113,0.9905715,0.9778308
114,0.9904135,0.9777024
115,0.99015236,0.9775739
116,0.98903483,0.9774447
117,0.98991156,0.977316
118,0.98988086,0.97718734
119,0.9891034,0.97705895
120,0.9884725,0.9769302
121,0.9877255,0.97634846
122,0.9882856,0.97531164
123,0.98829246,0.9742817
124,0.9883466,0.97325176
125,0.9870296,0.9722178
126,0.98715943,0.97118986
127,0.98596215,0.9701567
128,0.9865136,0.969128
129,0.98535776,0.96829265
130,0.985673,0.9676491
131,0.98581886,0.9670067
132,0.9853371,0.96636295
133,0.9849662,0.96571606
134,0.9847107,0.9650685
135,0.9845951,0.96442354
136,0.9847868,0.9637773
137,0.9839761,0.963133
138,0.9842928,0.96248925
139,0.9846523,0.96184754
140,0.98503953,0.96120363
141,0.9841164,0.9605583
142,0.9841418,0.95991266
143,0.98408824,0.95926833
144,0.9831976,0.9586227
145,0.97874206,0.957979
146,0.97675735,0.9573314
147,0.97729987,0.9566872
148,0.976031,0.9560435
149,0.9752145,0.95539534
150,0.9746348,0.9547516
151,0.97442144,0.9541054
152,0.9739794,0.95391154
153,0.97215945,0.9541701
154,0.97226745,0.9544293
155,0.97092944,0.9546864
156,0.96992034,0.9549451
157,0.96916103,0.9552032
158,0.96746063,0.95546126
159,0.9673216,0.9557196
160,0.96787363,0.9557197
161,0.9676967,0.95546126
162,0.9685965,0.95520407
163,0.96749806,0.9549452
164,0.96662074,0.9546876
165,0.96785384,0.9544301
166,0.9661865,0.9541725
167,0.9657373,0.953915
168,0.96613294,0.9536574
169,0.96640927,0.9534005
170,0.9667762,0.95314205
171,0.9658332,0.9528839
172,0.96500516,0.9526252
173,0.9642065,0.9523673
174,0.96281695,0.95210934
175,0.9613597,0.95185137
176,0.9644472,0.9515934
177,0.963274,0.951336
178,0.9641563,0.9510788
179,0.9637746,0.9508214
180,0.9635787,0.95056355
181,0.96236104,0.95030427
182,0.9616439,0.9500476
183,0.96229666,0.9497905
184,0.9633627,0.9495338
185,0.96105105,0.9492762
186,0.96046513,0.94901824
187,0.95972556,0.9487593
188,0.9602291,0.94850194
189,0.9568701,0.94824314
190,0.95924735,0.94798446
191,0.95881814,0.947726
192,0.9567116,0.9478549
193,0.9574795,0.94837
194,0.95777684,0.9488872
195,0.95831186,0.9494058
196,0.9577317,0.9499199
197,0.95749456,0.95043606
198,0.9573304,0.9509517
199,0.9588477,0.9514658
200,0.9596614,0.9517231
201,0.9588935,0.95172316
202,0.95947385,0.9517232
203,0.95897865,0.95172334
204,0.95918876,0.9517234
205,0.95930195,0.95172346
206,0.9585207,0.9517236
207,0.9580439,0.9517236
208,0.9590716,0.9517237
209,0.9582059,0.9517237
210,0.95785743,0.9517238
211,0.95827216,0.9517239
212,0.959016,0.95172393
213,0.95740336,0.951724
214,0.9573581,0.951724
215,0.95840627,0.95172405
216,0.9577643,0.95172405
217,0.9583821,0.9517242
218,0.96023893,0.9517242
219,0.96067065,0.95172423
220,0.96047735,0.9517243
221,0.9600206,0.95172435
222,0.96020746,0.9517244
223,0.96044517,0.9517244
224,0.96109575,0.95172447
225,0.9598401,0.95172447
226,0.9603904,0.9517245
227,0.9604447,0.9517246
228,0.9605604,0.95172465
229,0.95982486,0.95172465
230,0.9611905,0.9517247
231,0.96002465,0.95172477
232,0.96069264,0.9517249
233,0.95981735,0.9517249
234,0.96044683,0.951725
235,0.95954543,0.951725
236,0.9607032,0.95172507
237,0.95966524,0.9517251
238,0.96096283,0.95172524
239,0.95994925,0.95172536
240,0.95951223,0.95172536
241,0.9612384,0.95172524
