,pred,true
0,0.74334544,0.76784396
1,0.74344164,0.76749015
2,0.7431526,0.7670764
3,0.74336034,0.76666266
4,0.74357194,0.76624894
5,0.7434501,0.7658311
6,0.74337274,0.7654519
7,0.7428613,0.76517165
8,0.74283534,0.76495755
9,0.74253696,0.76487076
10,0.74254066,0.7648629
11,0.74226123,0.7647743
12,0.742424,0.76458895
13,0.74245286,0.7643736
14,0.7423017,0.7641349
15,0.7420252,0.76370287
16,0.7419963,0.7632032
17,0.74196965,0.7627692
18,0.7418289,0.7623632
19,0.7412157,0.7621221
20,0.74106187,0.7620137
21,0.7411073,0.76190966
22,0.7409713,0.7618083
23,0.74080276,0.7617433
24,0.7409579,0.7614629
25,0.74130726,0.7611494
26,0.7412637,0.76098925
27,0.741177,0.76076746
28,0.7412366,0.7604605
29,0.7409126,0.7601168
30,0.74096674,0.75945973
31,0.74053764,0.7589731
32,0.74083585,0.7584865
33,0.7412353,0.75779295
34,0.7412481,0.757264
35,0.74138594,0.7564007
36,0.7407729,0.7555206
37,0.74056464,0.7548894
38,0.7406816,0.754285
39,0.74026936,0.753743
40,0.7402161,0.7534001
41,0.7400902,0.7532594
42,0.74016255,0.75328314
43,0.7395735,0.7533673
44,0.7393425,0.7535322
45,0.73922485,0.75372136
46,0.7394001,0.75364137
47,0.73958635,0.7533109
48,0.7399109,0.75310403
49,0.7398028,0.753149
50,0.73971504,0.7531035
51,0.74001884,0.7527875
52,0.739645,0.7524713
53,0.7396162,0.7523061
54,0.73961025,0.752143
55,0.73949736,0.7518625
56,0.73914474,0.7515634
57,0.7395355,0.7513814
58,0.73970646,0.7513528
59,0.7396223,0.7513575
60,0.73933506,0.7514278
61,0.7389197,0.7515999
62,0.73892754,0.751806
63,0.73926735,0.75202656
64,0.7392581,0.752263
65,0.73978204,0.7524803
66,0.73958045,0.7526951
67,0.7398655,0.7530048
68,0.73954827,0.75335085
69,0.7395665,0.7536839
70,0.73989075,0.75399566
71,0.7401242,0.7542374
72,0.73978645,0.7544203
73,0.7395725,0.7545531
74,0.7399833,0.7545706
75,0.7401704,0.7545457
76,0.74003965,0.7546321
77,0.7400308,0.7548162
78,0.7400082,0.75513494
79,0.7400362,0.75556755
80,0.739767,0.75587404
81,0.7397768,0.75599957
82,0.7396143,0.75606984
83,0.7397785,0.75615835
84,0.74012357,0.7562891
85,0.7403143,0.7564609
86,0.7400524,0.7566219
87,0.7400376,0.7566719
88,0.7402145,0.7566719
89,0.74016243,0.75667197
90,0.7397987,0.756672
91,0.7396224,0.7566721
92,0.73956966,0.75667214
93,0.7396808,0.7566722
94,0.73988605,0.75667226
95,0.7399628,0.75667226
96,0.73972577,0.7566723
97,0.74016565,0.7566724
98,0.73969465,0.7566724
99,0.7401617,0.7566724
100,0.7399525,0.75667244
